seed,pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage
1016,BASELINE,report_to_biopmdt,1.652054794520548,1.0,6
1016,BASELINE,treatmdt_to_outpat,1.4794520547945205,1.0,5
1016,PROSTAD,biopmdt_to_biopsy,6.983561643835617,7.0,13
1016,PROSTAD,biopsy_to_pathrep,2.0657534246575344,2.0,7
1016,PROSTAD,mri_to_report,0.4136986301369863,0.0,4
1016,PROSTAD,pathrep_to_treatmdt,1.821917808219178,2.0,7
1016,PROSTAD,ref_to_mri,2.3589041095890413,2.0,12
1016,PROSTAD,report_to_biopmdt,0.0,0.0,0
1016,PROSTAD,treatmdt_to_outpat,1.8767123287671232,2.0,7
1017,BASELINE,biopmdt_to_biopsy,4.46027397260274,5.0,10
1017,BASELINE,biopsy_to_pathrep,1.3178082191780822,1.0,5
1017,BASELINE,mri_to_report,2.356164383561644,2.0,8
1017,BASELINE,pathrep_to_treatmdt,1.4273972602739726,1.0,5
1017,BASELINE,ref_to_mri,7.8493150684931505,8.0,16
1017,BASELINE,report_to_biopmdt,1.6191780821917807,1.0,7
1017,BASELINE,treatmdt_to_outpat,1.6191780821917807,2.0,5
1017,PROSTAD,biopmdt_to_biopsy,6.3863013698630136,6.0,14
1017,PROSTAD,biopsy_to_pathrep,1.7972602739726027,2.0,6
1017,PROSTAD,mri_to_report,0.39452054794520547,0.0,4
1017,PROSTAD,pathrep_to_treatmdt,1.83013698630137,2.0,6
1017,PROSTAD,ref_to_mri,2.1616438356164385,2.0,11
1017,PROSTAD,report_to_biopmdt,0.0,0.0,0
1017,PROSTAD,treatmdt_to_outpat,1.7561643835616438,2.0,5
1018,BASELINE,biopmdt_to_biopsy,5.512328767123288,6.0,13
1018,BASELINE,biopsy_to_pathrep,1.7945205479452055,2.0,7
1018,BASELINE,mri_to_report,2.8109589041095893,3.0,7
1018,BASELINE,pathrep_to_treatmdt,1.8520547945205479,2.0,8
1018,BASELINE,ref_to_mri,9.254794520547945,9.0,16
1018,BASELINE,report_to_biopmdt,1.7726027397260273,2.0,7
1018,BASELINE,treatmdt_to_outpat,1.6493150684931508,1.0,8
1018,PROSTAD,biopmdt_to_biopsy,6.331506849315068,6.0,13
1018,PROSTAD,biopsy_to_pathrep,1.884931506849315,2.0,6
1018,PROSTAD,mri_to_report,0.4054794520547945,0.0,4
1018,PROSTAD,pathrep_to_treatmdt,1.906849315068493,2.0,6
1018,PROSTAD,ref_to_mri,1.7506849315068493,2.0,7
1018,PROSTAD,report_to_biopmdt,0.0,0.0,0
1018,PROSTAD,treatmdt_to_outpat,1.9561643835616438,2.0,6
1019,BASELINE,biopmdt_to_biopsy,5.8191780821917805,6.0,12
1019,BASELINE,biopsy_to_pathrep,1.641095890410959,1.0,6
1019,BASELINE,mri_to_report,2.8876712328767122,3.0,10
1019,BASELINE,pathrep_to_treatmdt,1.5780821917808219,1.0,7
1019,BASELINE,ref_to_mri,9.243835616438357,9.0,20
1019,BASELINE,report_to_biopmdt,1.9232876712328768,2.0,6
1019,BASELINE,treatmdt_to_outpat,1.6904109589041096,1.0,7
1019,PROSTAD,biopmdt_to_biopsy,5.931506849315069,6.0,10
1019,PROSTAD,biopsy_to_pathrep,2.0602739726027397,2.0,6
1019,PROSTAD,mri_to_report,0.35342465753424657,0.0,4
1019,PROSTAD,pathrep_to_treatmdt,1.9287671232876713,2.0,6
1019,PROSTAD,ref_to_mri,1.3013698630136987,1.0,7
1019,PROSTAD,report_to_biopmdt,0.0,0.0,0
1019,PROSTAD,treatmdt_to_outpat,2.254794520547945,2.0,8
1020,BASELINE,biopmdt_to_biopsy,5.3780821917808215,6.0,13
1020,BASELINE,biopsy_to_pathrep,1.4109589041095891,1.0,6
1020,BASELINE,mri_to_report,2.8273972602739725,3.0,9
1020,BASELINE,pathrep_to_treatmdt,1.4767123287671233,1.0,6
1020,BASELINE,ref_to_mri,9.813698630136987,10.0,18
1020,BASELINE,report_to_biopmdt,1.917808219178082,2.0,6
1020,BASELINE,treatmdt_to_outpat,1.2794520547945205,1.0,5
1020,PROSTAD,biopmdt_to_biopsy,7.008219178082192,7.0,16
1020,PROSTAD,biopsy_to_pathrep,2.0767123287671234,2.0,6
1020,PROSTAD,mri_to_report,0.3917808219178082,0.0,4
1020,PROSTAD,pathrep_to_treatmdt,1.673972602739726,2.0,5
1020,PROSTAD,ref_to_mri,1.7808219178082192,1.0,8
1020,PROSTAD,report_to_biopmdt,0.0,0.0,0
1020,PROSTAD,treatmdt_to_outpat,1.8657534246575342,2.0,6
1021,BASELINE,biopmdt_to_biopsy,6.30958904109589,6.0,14
1021,BASELINE,biopsy_to_pathrep,1.906849315068493,2.0,9
1021,BASELINE,mri_to_report,3.6054794520547944,3.0,10
1021,BASELINE,pathrep_to_treatmdt,1.7068493150684931,1.0,9
1021,BASELINE,ref_to_mri,10.73150684931507,11.0,17
1021,BASELINE,report_to_biopmdt,2.265753424657534,2.0,8
1021,BASELINE,treatmdt_to_outpat,1.6821917808219178,1.0,8
1021,PROSTAD,biopmdt_to_biopsy,4.942465753424657,5.0,12
1021,PROSTAD,biopsy_to_pathrep,1.336986301369863,1.0,7
1021,PROSTAD,mri_to_report,0.336986301369863,0.0,4
1021,PROSTAD,pathrep_to_treatmdt,1.536986301369863,1.0,7
1021,PROSTAD,ref_to_mri,1.4684931506849315,1.0,8
