week_start,weekly_arrivals,scenario,seed,stage
2026-04-06,1,OBS_MIX,19,treatmdt_to_outpat
2026-04-13,8,OBS_MIX,19,treatmdt_to_outpat
2026-04-20,2,OBS_MIX,19,treatmdt_to_outpat
2026-04-27,2,OBS_MIX,19,treatmdt_to_outpat
2026-05-04,3,OBS_MIX,19,treatmdt_to_outpat
2026-05-11,2,OBS_MIX,19,treatmdt_to_outpat
2026-05-18,3,OBS_MIX,19,treatmdt_to_outpat
2026-05-25,3,OBS_MIX,19,treatmdt_to_outpat
2026-06-01,6,OBS_MIX,19,treatmdt_to_outpat
2026-06-08,4,OBS_MIX,19,treatmdt_to_outpat
2026-06-15,2,OBS_MIX,19,treatmdt_to_outpat
2026-06-22,4,OBS_MIX,19,treatmdt_to_outpat
2026-06-29,9,OBS_MIX,19,treatmdt_to_outpat
2026-07-06,4,OBS_MIX,19,treatmdt_to_outpat
2026-07-13,4,OBS_MIX,19,treatmdt_to_outpat
2026-07-20,4,OBS_MIX,19,treatmdt_to_outpat
2026-07-27,4,OBS_MIX,19,treatmdt_to_outpat
2026-08-03,5,OBS_MIX,19,treatmdt_to_outpat
2026-08-10,1,OBS_MIX,19,treatmdt_to_outpat
2026-08-17,2,OBS_MIX,19,treatmdt_to_outpat
2026-08-24,8,OBS_MIX,19,treatmdt_to_outpat
2026-08-31,5,OBS_MIX,19,treatmdt_to_outpat
2026-09-07,3,OBS_MIX,19,treatmdt_to_outpat
2026-09-14,7,OBS_MIX,19,treatmdt_to_outpat
2026-09-21,4,OBS_MIX,19,treatmdt_to_outpat
2026-09-28,2,OBS_MIX,19,treatmdt_to_outpat
2026-10-05,3,OBS_MIX,19,treatmdt_to_outpat
2026-10-12,8,OBS_MIX,19,treatmdt_to_outpat
2026-10-19,6,OBS_MIX,19,treatmdt_to_outpat
2026-10-26,2,OBS_MIX,19,treatmdt_to_outpat
2026-11-02,6,OBS_MIX,19,treatmdt_to_outpat
2026-11-09,5,OBS_MIX,19,treatmdt_to_outpat
2026-11-16,4,OBS_MIX,19,treatmdt_to_outpat
2026-11-23,1,OBS_MIX,19,treatmdt_to_outpat
2026-11-30,4,OBS_MIX,19,treatmdt_to_outpat
2026-12-07,1,OBS_MIX,19,treatmdt_to_outpat
2026-12-14,9,OBS_MIX,19,treatmdt_to_outpat
2026-12-21,3,OBS_MIX,19,treatmdt_to_outpat
2026-12-28,1,OBS_MIX,19,treatmdt_to_outpat
2027-01-04,1,OBS_MIX,19,treatmdt_to_outpat
2026-01-05,11,ALL_PROSTAD,19,ref_to_mri
2026-01-12,8,ALL_PROSTAD,19,ref_to_mri
2026-01-19,11,ALL_PROSTAD,19,ref_to_mri
2026-01-26,4,ALL_PROSTAD,19,ref_to_mri
2026-02-02,2,ALL_PROSTAD,19,ref_to_mri
2026-02-09,14,ALL_PROSTAD,19,ref_to_mri
2026-02-16,10,ALL_PROSTAD,19,ref_to_mri
2026-02-23,8,ALL_PROSTAD,19,ref_to_mri
2026-03-02,5,ALL_PROSTAD,19,ref_to_mri
2026-03-09,9,ALL_PROSTAD,19,ref_to_mri
2026-03-16,9,ALL_PROSTAD,19,ref_to_mri
2026-03-23,5,ALL_PROSTAD,19,ref_to_mri
2026-03-30,9,ALL_PROSTAD,19,ref_to_mri
2026-04-06,6,ALL_PROSTAD,19,ref_to_mri
2026-04-13,17,ALL_PROSTAD,19,ref_to_mri
2026-04-20,7,ALL_PROSTAD,19,ref_to_mri
2026-04-27,7,ALL_PROSTAD,19,ref_to_mri
2026-05-04,7,ALL_PROSTAD,19,ref_to_mri
2026-05-11,12,ALL_PROSTAD,19,ref_to_mri
2026-05-18,11,ALL_PROSTAD,19,ref_to_mri
2026-05-25,10,ALL_PROSTAD,19,ref_to_mri
2026-06-01,11,ALL_PROSTAD,19,ref_to_mri
2026-06-08,6,ALL_PROSTAD,19,ref_to_mri
2026-06-15,13,ALL_PROSTAD,19,ref_to_mri
2026-06-22,6,ALL_PROSTAD,19,ref_to_mri
2026-06-29,8,ALL_PROSTAD,19,ref_to_mri
2026-07-06,7,ALL_PROSTAD,19,ref_to_mri
2026-07-13,8,ALL_PROSTAD,19,ref_to_mri
2026-07-20,10,ALL_PROSTAD,19,ref_to_mri
2026-07-27,6,ALL_PROSTAD,19,ref_to_mri
2026-08-03,8,ALL_PROSTAD,19,ref_to_mri
2026-08-10,13,ALL_PROSTAD,19,ref_to_mri
2026-08-17,11,ALL_PROSTAD,19,ref_to_mri
2026-08-24,8,ALL_PROSTAD,19,ref_to_mri
2026-08-31,9,ALL_PROSTAD,19,ref_to_mri
2026-09-07,8,ALL_PROSTAD,19,ref_to_mri
2026-09-14,10,ALL_PROSTAD,19,ref_to_mri
2026-09-21,11,ALL_PROSTAD,19,ref_to_mri
2026-09-28,9,ALL_PROSTAD,19,ref_to_mri
2026-10-05,12,ALL_PROSTAD,19,ref_to_mri
2026-10-12,7,ALL_PROSTAD,19,ref_to_mri
2026-10-19,13,ALL_PROSTAD,19,ref_to_mri
2026-10-26,7,ALL_PROSTAD,19,ref_to_mri
2026-11-02,11,ALL_PROSTAD,19,ref_to_mri
2026-11-09,12,ALL_PROSTAD,19,ref_to_mri
2026-11-16,8,ALL_PROSTAD,19,ref_to_mri
2026-11-23,13,ALL_PROSTAD,19,ref_to_mri
2026-11-30,6,ALL_PROSTAD,19,ref_to_mri
2026-12-07,6,ALL_PROSTAD,19,ref_to_mri
2026-12-14,9,ALL_PROSTAD,19,ref_to_mri
2026-12-21,7,ALL_PROSTAD,19,ref_to_mri
2026-12-28,6,ALL_PROSTAD,19,ref_to_mri
2027-01-04,3,ALL_PROSTAD,19,ref_to_mri
2026-01-05,2,ALL_PROSTAD,19,mri_to_report
2026-01-12,4,ALL_PROSTAD,19,mri_to_report
2026-01-19,4,ALL_PROSTAD,19,mri_to_report
2026-01-26,4,ALL_PROSTAD,19,mri_to_report
2026-02-02,4,ALL_PROSTAD,19,mri_to_report
2026-02-09,4,ALL_PROSTAD,19,mri_to_report
2026-02-16,4,ALL_PROSTAD,19,mri_to_report
2026-02-23,4,ALL_PROSTAD,19,mri_to_report
2026-03-02,4,ALL_PROSTAD,19,mri_to_report
2026-03-09,4,ALL_PROSTAD,19,mri_to_report
2026-03-16,4,ALL_PROSTAD,19,mri_to_report
2026-03-23,4,ALL_PROSTAD,19,mri_to_report
2026-03-30,4,ALL_PROSTAD,19,mri_to_report
2026-04-06,4,ALL_PROSTAD,19,mri_to_report
2026-04-13,4,ALL_PROSTAD,19,mri_to_report
2026-04-20,4,ALL_PROSTAD,19,mri_to_report
2026-04-27,4,ALL_PROSTAD,19,mri_to_report
2026-05-04,4,ALL_PROSTAD,19,mri_to_report
2026-05-11,4,ALL_PROSTAD,19,mri_to_report
2026-05-18,4,ALL_PROSTAD,19,mri_to_report
2026-05-25,4,ALL_PROSTAD,19,mri_to_report
2026-06-01,4,ALL_PROSTAD,19,mri_to_report
2026-06-08,4,ALL_PROSTAD,19,mri_to_report
2026-06-15,4,ALL_PROSTAD,19,mri_to_report
2026-06-22,4,ALL_PROSTAD,19,mri_to_report
2026-06-29,4,ALL_PROSTAD,19,mri_to_report
2026-07-06,4,ALL_PROSTAD,19,mri_to_report
2026-07-13,4,ALL_PROSTAD,19,mri_to_report
2026-07-20,4,ALL_PROSTAD,19,mri_to_report
2026-07-27,4,ALL_PROSTAD,19,mri_to_report
