scenario,stage,week_start,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,report_to_biopmdt,2026-07-20,7.85,3.5729244987382827
ALL_BASELINE,report_to_biopmdt,2026-07-27,8.6,3.8030458707116384
ALL_BASELINE,report_to_biopmdt,2026-08-03,8.65,2.6412716235695415
ALL_BASELINE,report_to_biopmdt,2026-08-10,7.5,2.781517949836592
ALL_BASELINE,report_to_biopmdt,2026-08-17,8.35,2.277463963548745
ALL_BASELINE,report_to_biopmdt,2026-08-24,9.3,3.278317925560703
ALL_BASELINE,report_to_biopmdt,2026-08-31,9.9,2.918182563460383
ALL_BASELINE,report_to_biopmdt,2026-09-07,8.8,3.4732057086698513
ALL_BASELINE,report_to_biopmdt,2026-09-14,8.2,3.172248082155121
ALL_BASELINE,report_to_biopmdt,2026-09-21,8.5,2.982404540317303
ALL_BASELINE,report_to_biopmdt,2026-09-28,9.15,2.8335397241649978
ALL_BASELINE,report_to_biopmdt,2026-10-05,8.3,2.494203807145468
ALL_BASELINE,report_to_biopmdt,2026-10-12,8.8,3.205258836744127
ALL_BASELINE,report_to_biopmdt,2026-10-19,8.5,2.8928223334023775
ALL_BASELINE,report_to_biopmdt,2026-10-26,10.85,3.6602415796027223
ALL_BASELINE,report_to_biopmdt,2026-11-02,8.3,2.2266330494363245
ALL_BASELINE,report_to_biopmdt,2026-11-09,8.75,2.6532006490671836
ALL_BASELINE,report_to_biopmdt,2026-11-16,8.9,2.900090742681938
ALL_BASELINE,report_to_biopmdt,2026-11-23,8.3,2.5975697143777743
ALL_BASELINE,report_to_biopmdt,2026-11-30,7.45,2.837252191822222
ALL_BASELINE,report_to_biopmdt,2026-12-07,10.1,3.0590676254117217
ALL_BASELINE,report_to_biopmdt,2026-12-14,8.3,2.9037181246409616
ALL_BASELINE,report_to_biopmdt,2026-12-21,8.15,3.013565819319104
ALL_BASELINE,report_to_biopmdt,2026-12-28,9.2,2.3753116139062462
ALL_BASELINE,report_to_biopmdt,2027-01-04,1.6428571428571428,0.6333236937766509
ALL_BASELINE,treatmdt_to_outpat,2026-02-16,1.0,
ALL_BASELINE,treatmdt_to_outpat,2026-02-23,1.0,
ALL_BASELINE,treatmdt_to_outpat,2026-03-02,1.0,0.0
ALL_BASELINE,treatmdt_to_outpat,2026-03-09,1.4166666666666667,0.6685579234215215
ALL_BASELINE,treatmdt_to_outpat,2026-03-16,2.066666666666667,1.099783528483587
ALL_BASELINE,treatmdt_to_outpat,2026-03-23,2.75,1.4832396974191326
ALL_BASELINE,treatmdt_to_outpat,2026-03-30,3.0,1.4907119849998598
ALL_BASELINE,treatmdt_to_outpat,2026-04-06,2.8,1.6415653633362466
ALL_BASELINE,treatmdt_to_outpat,2026-04-13,4.2,2.1908902300206643
ALL_BASELINE,treatmdt_to_outpat,2026-04-20,4.368421052631579,2.564945880212885
ALL_BASELINE,treatmdt_to_outpat,2026-04-27,3.45,1.9861361590045288
ALL_BASELINE,treatmdt_to_outpat,2026-05-04,4.0,1.8637822325921867
