scenario,seed,stage,mean_wait_days,median_wait_days,p90_wait_days
ALL_BASELINE,19,treatmdt_to_outpat,11.596385542168674,12.0,13.0
OBS_MIX,19,biopsy_to_pathrep,8.544117647058824,7.0,15.0
OBS_MIX,19,mri_to_report,3.885869565217391,1.0,11.0
OBS_MIX,19,ref_to_mri,23.206521739130434,21.0,42.30000000000001
OBS_MIX,19,report_to_biopmdt,2.5217391304347827,0.0,7.0
OBS_MIX,19,treatmdt_to_outpat,11.598765432098766,12.0,13.0
ALL_PROSTAD,19,biopsy_to_pathrep,8.20388349514563,7.0,15.0
ALL_PROSTAD,19,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,19,ref_to_mri,86.26373626373626,83.0,153.0
ALL_PROSTAD,19,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,19,treatmdt_to_outpat,12.246753246753247,12.0,18.200000000000074
ALL_BASELINE,20,biopsy_to_pathrep,8.158653846153847,7.0,13.300000000000011
ALL_BASELINE,20,mri_to_report,6.787709497206704,7.0,13.0
ALL_BASELINE,20,ref_to_mri,24.282122905027933,22.5,38.0
ALL_BASELINE,20,report_to_biopmdt,5.103351955307263,5.0,8.0
ALL_BASELINE,20,treatmdt_to_outpat,10.486033519553073,12.0,13.0
OBS_MIX,20,biopsy_to_pathrep,8.138095238095238,7.0,13.099999999999994
OBS_MIX,20,mri_to_report,3.8575342465753426,1.0,10.0
OBS_MIX,20,ref_to_mri,21.71780821917808,22.0,35.0
OBS_MIX,20,report_to_biopmdt,2.627397260273973,0.0,7.600000000000023
OBS_MIX,20,treatmdt_to_outpat,10.425414364640885,12.0,13.0
ALL_PROSTAD,20,biopsy_to_pathrep,8.43362831858407,7.0,14.0
ALL_PROSTAD,20,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,20,ref_to_mri,91.93229166666667,90.5,167.9
ALL_PROSTAD,20,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,20,treatmdt_to_outpat,10.157894736842104,12.0,12.0
